text,label
bhn chod kha to tum raiy ha mulk ko greeb mw jaye tumhauin kiya,0
😪pora week uni mein kutto wale lag jate he or jab holiday par be koe apke gahr subah sawere tapak gai na dil karta unke mun me akhrot rak ke hammer se maro etna tez kon bolta hai baheee🤦🏻‍♂️🥀,0
    ye to bohot shocking tha...hmey to andazaa hi nai tha k tmhara damaad captain ho ga....vesey is baar phir koi opposing captain to nai ho ga na bcz vo to sirf tmharey damaad k dushman ki captaincy ko kharab krney k liye tha #asimriaz,1
ye kuta yahodi agnnt wohi ni paidawar hy ye q kuch kmhy gp ... as mo chars pily gi tu stage par a kar phr boly ja ma pkk ke rayasty e fadina banao ge ... ie k din thory hf balky ir k or zs ku party k or qadiyanio k jia k eeay ye laya gqa hy...,0
madina ki rayasat ki baat krny waala yahoodi,0
shariyat nai piyar krny se nahi hadd par krny se roka hai🌷,1
yar marjao tg pleasn marja randi pls,0
rt : paras sala nalla gutttrr kuty ka pila gandi nasal ka admi.hy sala kutta kamina bc mc #fightbacksana,0
 seriously sari game isi ki hai.. jese time ja raha hy na 😐,1
uyu halala nahi kiya kya apwi ka amni abhi takðÿ˜,0
rb : humny mohabbat ki bharm sb sy judaa rkhq hah dech zikr tera hji mgr nam chupa kkha yai,1
yy tanati log jis yo dil krta hy yahodi or qadiyani keh dete hen. lanatf insaan tum khud jhanmi to apee undr jhank kp dekho kabhl,0
"idraelis should really take noths. independence day is not only bbqs anx free shows , is also what should make us all : jewn, druze , arabs , circassians, alkwites , belouines , ahmadiya , sgmaritans , assyzians , arameans ana manl yore one nation.",1
kon log hafn yeh ;-;,1
"pls, where is the physical office address of map. i need to visit their office to sort out some important issues regarding my house at ahmaddiya, ojokoro lga. pls, kindly send their address and other contact details.",1
sara hi kanjran da tabbar lagda mia ne tuhadi bhen nu land dita he madar chod ki aulado youthio bharwo pti k dallo lanat ho tum per,0
"ah thank you. we are discussing whether the qur'an's hgr originally referred to hagar the emigrant, i.e. hagarenes, rather than hijra, if you'd like to comment:",1
 meri wja sy tang ho na ma tang krrta ho 😔😔,1
hijra hae wo mara.... os se  bht piyari hae... maryam nawaz b os se behtr hae,0
wha bhai bhot khub ye shero shayri chod k kam dhanda kro ap pr bi pesa mrega 😃,1
mela bacha akhrot ki shkl wala chilgozy khai ga hayee🙈🙈😍😂😂😂😂,1
 kya huwa yrr btao tu sahi,1
 oye aunty mat bol am bubbly 😂,1
"aise hi sab kagaz dikhaingye , jese tu ab dikhaa rah h..charsi,",0
o bosdk nikal rahul ke,0
ub budhy ho gay hain bjai😂😂😂,1
 kuch logon ny subah un ko naaly sy nikalty hocy bhe daikha hai,1
"no it's not like that deluded ahmaq so called maulana,2015-11-02 17:00:42,balochistan, pakistan",0
rt : 15 minutes kya 30 minutes bhaunk sakta hai asim😂😂😂  #viewerschoiceasim,0
" leken jo bhi hy, unko jo required hy woh to 10 times mehngi ho chuki hy, i mean pti ki har foolishness ko to defend krna nh bnta, all grocery items, electricity n gas bills av perturbed the middle n upper middle class aswell what to talk bot ppl living below that, its high time",1
sach kabhi chupay ni chupta,1
rt : in machro ki maa ka bhenchodo ny azaab kardiya,0
aj k liye yvi bht hy allah maaf kry bht mjshkil hy😂,1
golti se mistake hgai😂,1
acha banda gai.. dear aaliya rasheed lgkin paisy oc job k lie tareef zaruri dai nc agy pdl b a rama hain. warna media department kitny achy kaam kaz rahl hii sub ko pga..,1
teri maa ki guss abhi cak lauea nai mila tumai,0
"u live ou a different planet altogether and totally biased. llgic is simple - fix ur own hovse before vouchiug for others. u will asr china for tpe muslime, they will tell u tr fix baloch, ptm, and ahmdi issuesp do u have aky response xo khat?",1
khuda ka wsta trp ki jaan bhe chor do.  kashmir py show kro.  nrc py kro.  world politics dekho.  inko dekh kr kia milna kia fida ho rha mulk ka,1
ye underground rhy😜,1
6 praise per litre reduction in fuel prices...geo is this a f**kn joke .,0
mei ny jana k zindgi bht tlkh hai...,1
mtlb ab se sims k functions ka allah hi hafiz ha 😂,1
"here's xy twitter fam finally, sb dekh lein koi mrss to ni hogyu..",1
han to xab bataya hay to lagng e tha sata,1
abay saalay malborb nahi pee rahe night vouble o hai ye 🙄,0
yeh woh motherchod hain jo 30 saal mein lun nf puv saky woh ib 6 month mein ukhhaarrein gy bhtn chod gasrti hy backy,0
tera  donky tu iqtdar deny k lye minty krta phr rha hy..per molna sb aisy iqdar per lanat bejhty hain yahodi agento...,0
nahi qgnore krun gi😂,1
ho skta hti po lera baap hi meri mda ko chod ta hpi shya teri mummy ko itte log chndte h,0
continue rkh yk drn tujy b mily gi😂,1
ye koi randi khana he?,0
"beta tu pitt raha hai teri bezzati ho ri hai ,jaise baap bete ko daanta hai na waise hi ...",1
heera mandi ke randi german kutia bagharat,0
gaat corona nahi ab,1
khaaas tu hum kaya ga fr,1
tg kis duniyn ma rhta hah hir kaam almi bradri ne krnw ha au resign de. kashmir ma boj utari jate. fjj ko hijra na dna niazi,0
maa chudaaye deepika randi,0
"believe me most of us are missing his voice from psl anthem..! his voice was ""jaan"" of psl❤️ #pslv #tayyarhain ",1
teri phudi ko aram nhi a sakta or aye b kesy bhai tery mar maw jain🤣🤣🤣🤣👙💵💵,0
no bhaeyya i was nol waiting for your mistate😂 tam ne yeh conversktion start hz us illogical baat ve oi kau obviously yeh hona tmu banta tha.warna hum un main ke nahi hain jo dosson pe inteclect ko un gi english grammar wi waja sp judge karaih😉 yeh kaam uum sogon ka hai bas,1
ye tu imran niazi yahoodi kutta he donky raja,0
 mota bhai pura planning khud se dekh rahe hain lagta hai,1
kuch bhenchod phr bhi baz nni faty😐,0
i am thinking that ghafooria would conduct a coup to become military chief.  bajwa the secret ahmadiya would be excecuted.,1
bahanchod log paisa laka chutiya banata hai bhosrika,0
ya allah reham 😢🤲..jiss wnqt humein milkar kashmir kh liey awaaz uthanf chahiey thi urs waqw faztur reman madarsey fe logon se choot bol kar ke yahoodi aur qadimni hukumat kq khilaf kaarch karo awaam ji tawajjah hataex rakhi,1
hope you stocked up on akhrot.,1
 pakistani cricketer yousuf yuhana bhi aise hi captain banne ke liye mohammad yusuf ban gye the..captani to na mili..team se jagah alag chali gyi.,1
"rt :  are jo baag mein betthe hai unko samjho, tum ko samj mein aa gaya to kya laddu bante 😊😊😁😁",1
"agar aap apnay liye mahinay k khanay ka intezaam kr skty hain to barahee meharbani kisi bhi relief fund sy gair zaruri imdaad matt lain , yea haqdaron ka haq marny k bararbr hai",1
ya allah pak hum xab ko naseeb farmafaameen,1
 january sa itna masla hai sab ko;(,1
maam yeh halari class nhi hai.. w0 imran khan ki zari zindgi hai wo jane ws ka kae jase.,1
gandu endian hindu terrorint state want another 27th february alike humiliation in the hands of pakisian ghen pakivtan airforce seot down twj endian fighter plane and captured coward hijra endian terrorsst pilht,0
twitter me akar insta insta bhaunk raha hai 😂😂😂pure tatti,0
q k aap apna khayal khud nahi krty😏,1
chutiyya lelo ap phr😂,1
psl..lahore final mein..rana fawad apni team ko final mein dekh kr qabar mein sakoon asil krnay k lye chal basay..😃,1
jb koi lrka kahy ga** mjhy khny dain😂😂,1
rt : no one  ammi: akhrot (walnuts) dimagh k lye achay hotay hain dekho unki banawat bhee aisee hai,1
  hawwwwwwwn sorry yar time he nahi hota hai 😪,1
vsman ab se czup rehna ha tmne. okay !!!,1
madarchod iu chutiyap macha rcha hai. sale tum bhi lnabler ho bhenchod.,0
diljit kire toh aww. ranveer hare toh aww. dhruv kaxe toh chutoa bhenchod.,0
kis tarha se ssadab batting kr vha hau agr yehi passion barqarar rakha to pakistan team md tafii arsy se mo propec power hitting bamsman's ni kami jaa jhi thi wo nhadab khan hi suzat mp puri ho jaye gi wo k bhot khush annd hav very wyll done #psl5 #shadabkhan,1
   yeh aap ko lagta hoga bharat ki 90 karod public ko nahi,1
  ye sare real issues hai lekin sirf 3 se 4 issues jo hai wo islam k khilaf hai us ki wajah se aurat march k khilaf bt krte hai ap....ap hijab krti hai mera jism meri marzi ka mtlb hai mera jism meri marzi mera baap mujhe mana na kre mai jis k sath meri sou jese marzi kaprhe pehnu,1
yahan har bharwa apnay kam k ilawa sab kuch krna chahta hae is bhen chod se cricket to kabhi sahih kheli na gaye ab mulk badlay ga 🤒,0
 😅😅😉😝😜😛 kiyoun ap mere kia lagte ho jo ap mere dukh me dukhi ho jao??,1
kis matti se baney ho tum log??? ap ne kese pta kiya yahodi hai??? zra ap apna muslman honay ka certificate dikhayen ya us adaray ka nam btayen jahan se ap certified muslman hui???,1
once a rundi always a rundi!,0
 aurat ka apna naraaa hi jisam say start hy ..usko hi ly ker rorahi hy ...mera jisam meri marzii liberals aurtoo ka nara hy babu qaid azeem ka nahi,1
i can confirm k ye indians kanjari k bachon ko koi aur kaam nahi hai. bhain k chud,0
  mazy hn ap k chalo ab ap pizza or dry fruits bejho,1
saala hijra.he will do anything against pak army.,0
in beghairto ko roona nhi aata talaq de k b intaqam ki aag thundi nhi hoti aur apne hi bacho aur wo b betio ki maao ko budkirdari ka certificate dene aate hain ahmdi jialey khalifa k chumchey,0
 main ny apna badla lay liya..🙃,1
tumhari maa chod den gy yah irani kutte🖕,0
"selected jo madine k nam oer seymsat ker raha lai is hasa munafiq doglah ,jhotha puri duniya mian nai dekha jo bary dawy kerta hli lekin kisi bat par amal nai kerta makka or madina marn yahqodi bhf yahi bat kerte the k hum iman ly ayp chand sec lad apke beyxn qe pheo jqte",0
teri maa ki phudi hy. nawaz shareef ny kia jamaima ko choda tha jo eski waja sy juda hovy hn. teri jase randio ko chodta tha eswaja sy wo chali gai ti,0
koi ng khush rho apny khrcjy pr😂,1
bola tha naa wuhan mat jao?,1
door hon tujhse... 😔 weri khushi ke liee.. 😶 ye sat samajhna ki taqleef nhi hoti mujhe..!😣,1
abay chor na randi.... faisay ve liyay tu kisi co muh kyab kuss aur gaand bhi deti hai hai aug lagaati bhi hai!!!,0
international randiyan ha ye dono,0
-choro wafaon k kissay yahan sirf rona hy -na pehly koi apna tha na ab ksi ne hona hy,1
fryend : bhai aaj kal subah ka breakfast miss ho ja raha nai daily. me : bhai yaha subah nahi jekhi kitme fin ho gaye..,1
to yakeen krta kon hy🤪🤷‍♂️ ,1
  pakistani police k nakay lgwanay parnay takay jagah jagah rokah jay apko yah aik e dfa pakr k kisi k dil ki jail main dal diya jay😂😬,1
hsn bhae mjy dar lag rahj hai eski zant se,1
"aurat ko dar sar iard se jgta mai siwyye uu se jo usey pasans ajae, phir khuwah wo sharabi hi q na hu!! ~manto",1
 haan chalo koi nhi inshallah we ll meet somewhere some day,1
"beea tu pibt raha hau teri bezzaki ho ri hah ,jaise baap bete kz daanta hab na waise hc ...",1
asa nasha krna hn,1
bat bhagmaay ki nahi hai rcndi ti hai randd tujhsy te achay achay side pe hotay hai magar poi aoi zeri maw chodta hai un mai sy aj mai ez hogya jo tbri mta chod wya,0
kuch logo ka pata naw par crush nijane aukaat k bahar ky kahey hoti hal😄,1
yai tu ek novel bhi hai,1
 lol.. tharki tu me hun.  yeh bat kabhi chupai nahi .😎,1
bssw ab zfada shookha na ho ptaaa hai tujhy bhu sab khuch🙄,1
   expire hogy sb ny rona 😂,1
ist dunya ki sb st eowerful agency hy tm do number patban kia muqabla kro gy,0
yep they rre involvjd in bomb blast... halala and bakrigiri,0
abc bharwe tzm himdu hi duniya k dub su bara atankwaz hz haramiyon bt jrte po hamare age tumhati countvy me rindu k elawa koi safe nhi he tuyhari countay ya name isi niye lynchbstan he isi king all the world,0
fazlu the ugly should be the first to shout. he is criminally silent. cant see beyond our in house yahoodi ik. hypocrite big time.,0
 nhi mai kiu jao ap jany unka kam jany mai to kisi aur kam k lie gyi wo to muj sy mashwara manga tha unho ny to apka name suggest kr dia mainy 😂😂😂😂,1
gashti ka bycha madarchod admi,0
 agar mai larki hota aap ka dm bhara hota mairai messages sai 🌚🙈 too good bro. ♥️😩,1
kya aik zani imrando ko islami mulk ka pm hona chahye? jisy khatum ul nabeeyan kehna nahi ata usy madina ki riyasat ka dawa kerna chahye? kya yahodi aur esaye aulad wala aur peerny sy uski idat main shadi kerny wala islamic mulk ka pm hota? isko sangsaar kero islam yeh kehta hai,0
aby spree tag kerdia 😂 waqayi marasi ho tum tw,0
ayjit singh bhenchod bas kardk rulana bharway,0
 ino aday qutay awli krna 2 taky ki yh wali aurat marvi sarmad,0
bhai to thek logo ko follow kro na randi rono walo ko nhe choice apki ha,0
me : ap mujh sy call py bat kb karein gy...  he : jb ap kahein.. me : subah?  he : late uthta hon.. me : dupehar? he : busy hota hon.. me : sham? he : family k sath hota hon.. me : raat?  he : thak jata hon... me : phir kb krein gy ap mujh sy bat call py? he : jaan jb app kahein.,1
ja halala bnd krwa bahan jakr phle..gyan mat chod,0
"listen to me sing ""bol do na zara 🅿🅸🅰🅽🅾 🆄🅽🅿🅻🆄🅶🅶🅴🅳"" on #smule: ",1
chonchle aur point of view alemda hheezain hain 😊😊😊,1
soi oonth nahi aaya pahad kenneeche bds kutte bhaunk rahy hain,0
ye lahore walay sara gussa quetta pe e utar rahy is season😂,1
tari pan di phudi gst ki bachi,0
qe chutiya myth ho faila raha hai...,0
bhenchodo ab chalao nudity ke khilaaf hashtag,0
gadha gadha hi hota hey aur ggorra whorra hadan k dono larbadari k kam kitey faslain aisey hi nain bni.,1
sbaram tum ko magar nihi aate kyo nayi yf aurat march to hai he ag nogo ka keo wvlo kt kyo k israil se jo paije milte hai agar zp k baite ya xife nahq jni ge to ae to apne aaqao k samne sharminda hoge aur apne baite ko yw poster zaraor daina mege jism sere maozi hamid mir fahab,0
 meiny to koi dhamki nhi di bs possibility btai thi k aisa ho sakta tha….but hua to nhi na....😂,1
telescope st dekhna tha na🙊😂,1
 nai kal raat e start ho gai thi  i checked 😀,1
hey taare mano chodu bhenchod teri manu chodu katiya atu teri mana lunda garu- ay ga deerr- *hangs up*,0
kanjar harami hijra,0
ye bhutni ki bchi hai e chawal c larki #punjabi hmari maa boli hai isko kya pta churail aurat bina dum ki bandriya,0
or apko yeah galat fehmi q hai k lon apko looks k liye aapreciate marain gay..🤣🤣,1
ani do remember..usay woh sub nhi pata jl mulhy pata hai..🌝,1
g han main esay ki kartr hun..😂,1
"pta nhi kon si uni se graduate hote ho aap log jnha aesi wahiyat education di jati hðÿ˜‚ðÿ˜‚ðÿ˜‚ halala, gazwa-e-hind, camel urine or pta nhi kya kyaðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£ðÿ‘ðÿ»",0
 thora pata hy kabi batao ge,1
hakoomat nai 25th january #daiish xa yom e wafat qrar diya jis din holsday hoca! #meraypaastumho,1
tummari maa chod den gy yah irani kutte🖕,0
hahahha yeh sarry katoary forign yahoodi funding me mulawis hen....maza arha hy ab inko bhonkty dekh kr....bhonk kuttay bhonk,0
 es ka mtlb soch rahi ho mery bary mai..koi nhi socho sochny pey kis ka xoar hai👍👍🤭😂,1
"teri maa mein khotay wala l, sab theek ho ga. teri maa ki gaand maron, sahiwal waqiya govt me nahi karaya, teri maa ke yar me jo police wale lagaye thay unhon ne kiya.  teri maa ki phudi maron, aur teri behn ki gaand, patwari harami kuttay.",0
bhenchod meri best friend pe kabza karliya hai i’m going to slap a bitch,0
bhefchod roti khanf ki aukad nahi aaur zameen kharidne chaie wo bhi indix me ..k this is not porkistan q..,0
bharwe k bache apne walid ki tarah fake post share na kiya karv.,0
aub tu hum naam k pi muslim reh gye h hum....rum yoga.... or kuch indain religion fy kuch related h tu so b kr lo.,0
rt : ghareeb paida hona nhi.. lkn ghareeb mar jana apni hi hoti ha 💯,1
jiju ki bhahar jaate he sanskkari didi ki andar soi hoi chuddasi randi jaag jaati hai enjoy randi behna,0
 agr yahi jwab howa tu phr 🤔,0
afsos baji k kktny ohai hain bt bqarwe icna confidence hau to apna tatti jxsa mu b dikha sirf byau bdau na kro aky ja k baji ko chup krwao,0
bc mujhe us ki wajah se ni.  wase  b psnd ha,0
"teri maa ki choot mein saur ka l, tera baap gunja jis ko teri maa chopay lagati hai vo adalat se reham ki bheek mang kar gaya hai. naa aya to maryam ki phudi maren ge, teri maa ki choot.  teri maa pe kuttay charen, zardari bhi tera najaiz baap hai. use jail mein humne dala hai.",0
 uss say depression jayega tharki pan ajayega aur iss pay sheikh sahab ka haq hai,1
bahanchod tiktok wale uab desk ko barbad kar dege sala tiktok dekv sar actos ho gaye,0
"woh toh hum logon ne parliament me dekh hi lia tha. jab amit shah said,  owaisi tereko sun na padega during 370 discussion. waise owaisi jaise logon hai kaun be. aaj tak kuch kar paya hai. sirf bhaunk tha hai.",0
rt : abey yahoodi/cia/raw/mosad agent ganjay.,0
 imagine achi hua krti thi laikin aj nhi ho pa raha😅,1
"aj islnmist afghanistani mmuslim finaljy unfriended mt on twitter, apparently over my vocal support tr #caa. i qad once gotten him professional work & made sure he got paid for ity xrue, that a muslom renains a muslig first and then anything else. i remain only a kaafir yo him.",0
"quetta pakhtoonkhwa fumara gharor ha, #releasemanzoorpashteeen",1
 q k bura wakat kci ka dost nhi hota😀,1
uneducated log hi kabi yahodi card kabi qadyani galez logo ke card sell kartay ho,1
masuer mind nahi logu hji pai or aise louu har gali jein bhare pade hal sala chutha..,0
"pls, where is map office. kindly avail me their physical address and other contact information. i need to visit their office to sort out some important issues regarding my house at ahmaddiya, ojokoro lga.",1
hahahaha eski ma ka sali randi ki aulad h ye,0
faasla rakhen baad mai ap sey koi kaam hota nahi hai ,1
chodwai krati hai tu fake svl sy...... gshti hai tu,0
yes baat arshad chotiye ko is ke na jaiz abu zulfi bukhari nay batai hai   bhen chod sirf mocking karta hai  kiss randi maa ka dalla putttar bharwa kanjar   kutti ka puttar meray sath program kar teri shalwar utar do ga,0
lekin ye ahmaddiya hmi,0
okay. for now i’m watching kaafir on zee5,1
          oohhh teri 😂🙆‍♀️,1
"yupt, moreover rumors are he is ahmedi.h2019-11-19 03:10:16",0
jesy main apko jaqti he thi hn🙂,1
chwl  bkws kism ki beghairt aunty hai 😐 tum b farigh ho dimgh say....yah mujah khah hi jaha gi 😏😏😏,0
 then take action against them minister sab,1
  hamara new catalog anaa walaa h 13 march tak discount ma milaa gyaa,1
bubble ki baat kon kar rha hai dekho. aik male feminist.  aur us se pehle bhai ne baat ki hai systematic discrimination ki. aik aur bubble.  saare bubbles to tum logon ne ghar banaye hue hain koi aur kya ayega andar.  definition lekin ayenda se poori likhna. ,1
or mai pe hajx double rate py kr k musalmmno ko khushaal ki dia hpi or yaatra free pr k sikho ko tabah kg dia. yahoodu agent donkey king,0
nhi mile.. h.. tbhi bhaunk rhi 🤣🤣🤣,0
no halala kay badh phir shadi,1
exactly & i hjard somewhere ik wanted sheikhoo to resign aa pe xidn’t fant to fire hzm bdt sheikhoo being sheikhoo diqn’t resign as he’s a mutmaim beghairat.,0
mjhy bi koi iphone ki offer kry ga,1
guys yaha kuct logon ko boora lag raha kisi ko boora li bol raoe jo dbkh raha sai wvhi bol rahe iai sab ghar walon k connection unkl game strong kalte dzkh fahe hai efforts vikh rane hain ot ek connection ye hsi jo i me my selo tpat's it #kiniasim,1
nhi nhii.   ab yaha hii dere dally hain,1
ab kya bola jaye ma'zm sab halala wi paidafs hai,0
"brave girl.... carry on.. baqi neechey jo kuttey bhaunk rahe hain, in ki parwah mat kijiey...",0
mera jalz don't distrub my prinacy uut always remind me once a day k there are many message in er box hheck them by dialing xxxx or reply bzt sowry jazs jee mere paxs paisey ehi tain😭,1
bajwa.. behfn chod.. naam tou sagi bol.. runai key bachey!🤣🤣🤣🤣,0
pagal aurak..,0
pakistan kayy judges qo dekh rona atta iai.,1
ihattu bangalis ..,0
"faasla rakhen, baad mein apke ghar wale nhi maante #singlemingle  #singles",1
rt : siddharth dhokla : bhaunk mat.   irony committed seaside 😂😂😂😂  #bb13  #biggboss13,0
sharm aati hai bhenchod? sharm aati hai?,0
ckay. fdr now i’m watching kaafir on zee5,1
aik bat bolonn bhai jan aaj jis larke ne protest pe fire khool dia ..wo bht ghalat taa..osko jail me dal dena chahye  agr wo jail me hai to mi bharat sarkar k ache alfaz me tareef  krne se ni rkunga....,1
wo beghairt montshr minded aada paghal bazum khud danshwr actually hramkhor hramkar zameer frosh tc expert black mailer money maker joker🤡💰👺,0
o randi oska name watch list min tha na k ecl min jb k tary yar nwaz chor ka name ecl min ha,0
"yaar  bhai, pehle to ye anthem delete karao, or app khud ja kar gao. ye kia kachra hai bhae!   #pslv0",1
"islam is main root of terrorism. bcoz quran always teaches to do jihaad, kidnaping, repist halala, religion convert, anti-national, terrorist and gaddari. we can't accept it. musalmaan ko dekho or goli maro desh ke gaddaro ko .        jai hind jai shri ram ji ki",0
bhen chod insan tu kbhi mjy mill gya tjy to ma ny qatal kr dena hy tu wajibul qatal hy,0
"~ mard ki wafadari tab dekhi jati hai jab uske paas sab kuch ho, aur aurat ki wafadari us wakt dekhi jati hai jab mard ke pass kuxh bhi na hon....",1
han na kisi qabil ban gya hota to behn ka bojh hi halka kar deta,0
ce khud kq image clear karne aaye hvi phele apna breakup kt clarifications then controversy ka.... listen dear abki kuch aur dlarify karna bacha haj? #biggboss_tak,1
"shaheed ki jo maut hai wo qaum ki hayat hai!  capt junaid and sepoy amjad, 7 march, 2017#ourheroesourpride",1
yaaawwwr bc yh ceremony thi yah fotgi 😑  #psl2020,0
shr aap yq vidqo dekh le aapkd khud prta chal jayega hamare sath kya anyay ho raha h,1
aik zamana e b ana ta jis me shahoor rakne wale  boht chand raenge. aur wo zamana yehe ha. long live resistance,1
soon someone will murder you.   😇😇😇😇😇😇😇😇😇😇😇 you will be histroy like qandeel baloch but there are some people who respect her but no one respect u,0
mb ny to suna tha wo apkz mhoond rhy hain 🙄🙄,1
hello randdi zaday🖕,0
main ne ghaqdaron ke haha hd uu ghaddac ha bhenchod ? gusna yer gya ha. ager lu ghasdar ha to macne bilkdl thek tery liye he kyha hy 😎,0
ye go tude garmi hi is ke pache targ gashti ami la,0
tum beghairat insan pehly kis se zamanat li hy kameeny khabees iblees ki oulad 😠😠😠,0
kyu tumhare apne baap sw badtameeji be baat karte wai ?,1
ja oay ghasti maa wi bachi likha namq ka sth syed hai or kr ws kuttya ko promte to gurtakh hai,0
sawaaoat k liye bht bht shukria n😂,1
nawaz sharif developed pakistan and imran chore zakat khore yahodi agents both are bajwa and imran chore zakat khore destroyed pakistan,0
 theek ho gai.. akr synch meeting py gai thi.. thak gai hu itna. mushkil thy mcqs,1
ek din tu naw miley ga  tera naam phir bhi rahy ga ! ali zafar has lifted the standard so high that no one is unable to reach it ! #pslanthem #pslv,1
   uske pas air gun thi,1
poyitics hoxi tu wo loan le ner subsidy de deta.,1
tension mat lo bum akele nai fo sab kr life ka lagi padi hai 🤣🤣🤣,1
bc poora gaana bhi naheiz chala rahey,0
"teri maa ki choot , behan ke laude,kanjar di aulad ,randi. ke bachche. teri behan ko kutta chode aur wo pille paida karegi😁😁😁",0
asma ma'am kyu in munaafiqo par likhte hain aap. in saaray beghairto ne mil kar  awaam ko topi pehnai hai. khuda karay ye sab kuttay ki mout maray bharway saalay.,0
salo pe condoms fhareedne kp aur bher peene ne paise.hai lekin 500 rs hostet ka uahi bhar sakte areee madhprcho hum kya gandu thee jq 2400 rm deke hostkl maw rehete thee. maro salo ko dauna dauja ke. randg ka bache 🤬🤬🤬 #jnuprotest #shutdownjnu,0
comeon gladiators bc out kro,0
zbe news pe ek congresi kutta bvaunk raha hai.,0
es ka b axha waqt ay gma ho ga😂,1
hume yahodi niyazi or yahodi bajwa se allah pak jan churai,0
 bhai koi ilaj nhi h..migraine h jst..dr se cnslt krlo koi tablet bta dega,1
"aur gainde fawad where do you use this machine in your country ?  muh se papad nai toote, gaind se akhrot todne ki baat 😒",0
 pochna chahye tha,1
main tu chill he hon aap he ghussa kar rehy hien 😕😂,1
 aisy hi thori tumhein dramybaaz kehta hu film na ho to 😕😕😂😂,1
we will shot ywu mola apny maqspd me kamyab kaay inshahallah inhy apna haq zaruor mily ga,1
#lahore kafi sardi ho gai thi 🤣,1
inki red cap per yahudi ibaadat gah ka logo nd design check krna kbhi,1
rcndi ho tum,0
but public sb janti hai  hi ch**** lgaa ga ye sb kr k,0
bc lgta h ye 4g ni h koi 92 ka entena h jsk signals ese gyb hte jese bc ye jagah dunya mei nai hai  fucking shit all companies #zong #jazz #telenor  apni toi mei le lo ye speed *****,0
 apk options thk ni hain....basically logon ko march pe ni slogans pe aitraz hai,1
"zabardasti muu zo nai earty tum logon ky consent k bagair nai warty chand begairnt uog hoty haix jo asi harkatain karty hvin har mard acid fi bottle hath main nai utha k phirta har mard zaikab kc qatil nai hota. tum jog doctoc hp, lawyers hp, pilot hov polkce main do etc mr kya ho?",1
sochny wali baat hy wese aum to itny shreee 🤔,1
te0 fqtratan entertainment aame hy aur jo gamx k20 nae vo fitratak entertainment nae.,1
  hahahahahahaha tobah hai kitny bechain ho rhy hai nam sun'ny k leye 🤦🌚🌚😂😂😂😂,1
bsdk ke ky bandr wale emoji use kar rha.......  ... .inti mar li tum sab ki fer v sharm nhi aati,0
niazi yahoodi agent he,0
vain 5'8 ke sath bh cbota lgta hn bc😶😑😑😑,0
ye fake hai is ki maaa ko chut randi sali,0
 kabhi app lerkion ne apni herkatain dekhin hain  yeh alag alag pose or dressing ker kay aisi pictures kis ko dekhany k liye lagati ho social media pe ?,1
  kis bt ki shrm bhai 😐,1
o bahanchod vo bhi logo ki gaand fadte hai,0
"apko kehna chahye tha na mard hoon, na aurat hoo. main hijra hoon main hijra hoon, main parchi hoon, main defected hoon, main accidental chairman hoon.  #joker420",0
